Problema,Custo Médio
Problemas no câmbio automático,R$ 5.000 - R$ 15.000
Falhas na bomba de óleo,R$ 600 - R$ 1.500
Engasgos do motor,R$ 500 - R$ 2.000
Falhas na injeção eletrônica,R$ 800 - R$ 2.500
Bicos injetores entupidos,R$ 300 - R$ 1.200
Motor que desliga sozinho,R$ 1.000 - R$ 4.000
Barulhos no painel,R$ 200 - R$ 800
Desgaste irregular dos pneus,R$ 400 - R$ 1.200
Suspensão dianteira danificada,R$ 1.500 - R$ 3.000
Amortecedores com problemas,R$ 1.000 - R$ 2.000
Ruídos na suspensão traseira,R$ 800 - R$ 2.000
Fuga de óleo do motor,R$ 500 - R$ 2.000
Fuga de óleo da transmissão,R$ 1.000 - R$ 3.000
Problemas no alternador,R$ 600 - R$ 1.500
Bateria descarregando rapidamente,R$ 300 - R$ 1.000
Fusíveis queimando frequentemente,R$ 50 - R$ 200
Falhas no sistema de ar-condicionado,R$ 800 - R$ 3.000
Problemas no compressor do ar-condicionado,R$ 1.000 - R$ 3.500
Pane elétrica no sistema de ignição,R$ 400 - R$ 1.500
Problemas no radiador (vazamentos, entupimentos),R$ 500 - R$ 1.500
Superaquecimento do motor,R$ 1.000 - R$ 3.000
Falha na ventoinha,R$ 300 - R$ 800
Problemas na correia dentada,R$ 600 - R$ 1.200
Correia do alternador desgastada,R$ 200 - R$ 500
Ruídos nos freios,R$ 200 - R$ 800
Pastilhas de freio desgastadas,R$ 150 - R$ 500
Discos de freio empenados,R$ 400 - R$ 1.200
Problemas no cilindro mestre do freio,R$ 400 - R$ 1.200
Falha no ABS,R$ 1.000 - R$ 3.500
Problemas com o sistema de embreagem,R$ 800 - R$ 3.000
Ruídos na caixa de direção,R$ 800 - R$ 2.500
Folga na direção hidráulica,R$ 1.000 - R$ 3.000
Vazamento de óleo na direção hidráulica,R$ 500 - R$ 1.500
Problemas na bomba de direção hidráulica,R$ 800 - R$ 2.000
Alinhamento de direção fora de especificação,R$ 150 - R$ 400
Volante torto,R$ 150 - R$ 400
Dificuldade em engatar marchas,R$ 800 - R$ 2.500
Falha no pedal de embreagem,R$ 500 - R$ 1.500
Desgaste precoce dos pneus,R$ 800 - R$ 2.500
Ruídos no escapamento,R$ 200 - R$ 1.000
Vazamento de gás no sistema de exaustão,R$ 300 - R$ 1.200
Catalisador entupido,R$ 1.000 - R$ 4.000
Sonda lambda defeituosa,R$ 300 - R$ 800
Fuga de gás no sistema de arrefecimento,R$ 400 - R$ 1.500
Problemas no sensor de temperatura,R$ 200 - R$ 800
Luzes do painel não acendem,R$ 100 - R$ 500
Falha no sistema de travamento central,R$ 300 - R$ 1.000
Vidros elétricos com defeito,R$ 200 - R$ 800
Problemas no sistema de alarme,R$ 200 - R$ 800
Falhas no sistema de partida,R$ 300 - R$ 1.200
Vibração excessiva do motor,R$ 500 - R$ 2.000
Fuga de fluido de freio,R$ 100 - R$ 500
Faróis desalinhados,R$ 100 - R$ 400
Luzes traseiras queimadas,R$ 50 - R$ 200
Problemas no sensor de estacionamento,R$ 200 - R$ 800
Falhas na central multimídia,R$ 500 - R$ 2.000
Conexão Bluetooth instável,R$ 100 - R$ 500
Problemas com o sistema de GPS,R$ 200 - R$ 1.000
Ar quente não funciona,R$ 300 - R$ 1.000
Desgaste nos bancos,R$ 200 - R$ 1.000
Ruídos no cinto de segurança,R$ 100 - R$ 500
Problemas na bomba de combustível,R$ 500 - R$ 1.500
Filtros de ar entupidos,R$ 100 - R$ 300
Filtro de combustível sujo,R$ 100 - R$ 300
Falha na válvula termostática,R$ 200 - R$ 800
Ruídos nos rolamentos das rodas,R$ 300 - R$ 1.200
Cilindro de roda com vazamento,R$ 300 - R$ 1.000
Problemas no eixo traseiro,R$ 1.000 - R$ 3.000
Balanço excessivo do carro,R$ 500 - R$ 2.000
Problemas no sistema de som,R$ 200 - R$ 1.000
Antena de rádio com falhas,R$ 100 - R$ 500
Porta-malas que não fecha corretamente,R$ 200 - R$ 800
Vazamento no sistema de arrefecimento,R$ 300 - R$ 1.500
Chave de ignição com defeito,R$ 300 - R$ 1.000
Problemas na embreagem hidráulica,R$ 800 - R$ 2.500
Problemas no sistema de turbo,R$ 1.500 - R$ 5.000
Ruídos no ventilador interno,R$ 200 - R$ 1.000
Defeitos no sistema de luzes internas,R$ 100 - R$ 500
Desempenho fraco do motor,R$ 500 - R$ 2.500
Problemas na junta homocinética,R$ 300 - R$ 1.500
Dificuldade em frear,R$ 500 - R$ 2.000
Falhas no sensor de oxigênio,R$ 300 - R$ 800
Falha na bomba d’água,R$ 400 - R$ 1.500
Problemas no sistema de suspensão pneumática,R$ 2.000 - R$ 8.000
Desgaste da barra estabilizadora,R$ 500 - R$ 1.500
Problemas na tração 4x4,R$ 2.000 - R$ 6.000
Vazamento de gás no ar-condicionado,R$ 300 - R$ 1.000
Problemas na caixa de fusíveis,R$ 200 - R$ 800
Farol de neblina com defeito,R$ 150 - R$ 500
Sensores de pressão dos pneus defeituosos,R$ 200 - R$ 800
Desgaste das velas de ignição,R$ 100 - R$ 400
Trinca no para-brisa,R$ 300 - R$ 1.500
Problemas no sistema de airbag,R$ 1.500 - R$ 5.000
Falha na bomba de vácuo,R$ 400 - R$ 1.200
Problemas na barra de direção,R$ 500 - R$ 2.000
Travamento da coluna de direção,R$ 800 - R$ 3.000
Fuga de fluido de transmissão,R$ 1.000 - R$ 3.000
Rachadura no bloco do motor,R$ 3.000 - R$ 10.000
Problemas no módulo de controle eletrônico,R$ 800 - R$ 2.500
